"","id","work_year","experience_level","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size","employment_type"
"70",69,2020,"4","Data Scientist",80000,"EUR",91237,"AT",0,"AT","S","FT"
"71",70,2020,"3","Data Scientist",55000,"EUR",62726,"FR",50,"LU","S","FT"
"72",71,2020,"3","Data Scientist",37000,"EUR",42197,"FR",50,"FR","S","FT"
"73",72,2021,"1","Research Scientist",60000,"GBP",82528,"GB",50,"GB","L","FT"
"74",73,2021,"2","BI Data Analyst",150000,"USD",150000,"IN",100,"US","L","FT"
"75",74,2021,"2","Head of Data",235000,"USD",235000,"US",100,"US","L","FT"
"76",75,2021,"4","Data Scientist",45000,"EUR",53192,"FR",50,"FR","L","FT"
"77",76,2021,"3","BI Data Analyst",100000,"USD",100000,"US",100,"US","M","FT"
"78",77,2021,"3","3D Computer Vision Researcher",400000,"INR",5409,"IN",50,"IN","M","PT"
"79",78,2021,"3","ML Engineer",270000,"USD",270000,"US",100,"US","L","CT"
"80",79,2021,"1","Data Analyst",80000,"USD",80000,"US",100,"US","M","FT"
"81",80,2021,"4","Data Analytics Engineer",67000,"EUR",79197,"DE",100,"DE","L","FT"
"82",81,2021,"3","Data Engineer",140000,"USD",140000,"US",100,"US","L","FT"
"83",82,2021,"3","Applied Data Scientist",68000,"CAD",54238,"GB",50,"CA","L","FT"
"84",83,2021,"3","Machine Learning Engineer",40000,"EUR",47282,"ES",100,"ES","S","FT"
"85",84,2021,"2","Director of Data Science",130000,"EUR",153667,"IT",100,"PL","L","FT"
"86",85,2021,"3","Data Engineer",110000,"PLN",28476,"PL",100,"PL","L","FT"
"87",86,2021,"1","Data Analyst",50000,"EUR",59102,"FR",50,"FR","M","FT"
"88",87,2021,"3","Data Analytics Engineer",110000,"USD",110000,"US",100,"US","L","FT"
"89",88,2021,"4","Lead Data Analyst",170000,"USD",170000,"US",100,"US","L","FT"
"90",89,2021,"4","Data Analyst",80000,"USD",80000,"BG",100,"US","S","FT"
"91",90,2021,"4","Marketing Data Analyst",75000,"EUR",88654,"GR",100,"DK","L","FT"
"92",91,2021,"1","Data Science Consultant",65000,"EUR",76833,"DE",100,"DE","S","FT"
"93",92,2021,"3","Lead Data Analyst",1450000,"INR",19609,"IN",100,"IN","L","FT"
"94",93,2021,"4","Lead Data Engineer",276000,"USD",276000,"US",0,"US","L","FT"
"95",94,2021,"1","Data Scientist",2200000,"INR",29751,"IN",50,"IN","L","FT"
"96",95,2021,"3","Cloud Data Engineer",120000,"SGD",89294,"SG",50,"SG","L","FT"
"97",96,2021,"1","AI Scientist",12000,"USD",12000,"BR",100,"US","S","PT"
"98",97,2021,"3","Financial Data Analyst",450000,"USD",450000,"US",100,"US","L","FT"
"99",98,2021,"1","Computer Vision Software Engineer",70000,"USD",70000,"US",100,"US","M","FT"
"100",99,2021,"3","Computer Vision Software Engineer",81000,"EUR",95746,"DE",100,"US","S","FT"
"101",100,2021,"3","Data Analyst",75000,"USD",75000,"US",0,"US","L","FT"
"102",101,2021,"4","Data Engineer",150000,"USD",150000,"US",100,"US","L","FT"
"103",102,2021,"3","BI Data Analyst",11000000,"HUF",36259,"HU",50,"US","L","FT"
"104",103,2021,"3","Data Analyst",62000,"USD",62000,"US",0,"US","L","FT"
"105",104,2021,"3","Data Scientist",73000,"USD",73000,"US",0,"US","L","FT"
"106",105,2021,"3","Data Analyst",37456,"GBP",51519,"GB",50,"GB","L","FT"
"107",106,2021,"3","Research Scientist",235000,"CAD",187442,"CA",100,"CA","L","FT"
"108",107,2021,"4","Data Engineer",115000,"USD",115000,"US",100,"US","S","FT"
"109",108,2021,"4","Data Engineer",150000,"USD",150000,"US",100,"US","M","FT"
"110",109,2021,"1","Data Engineer",2250000,"INR",30428,"IN",100,"IN","L","FT"
"111",110,2021,"4","Machine Learning Engineer",80000,"EUR",94564,"DE",50,"DE","L","FT"
"112",111,2021,"4","Director of Data Engineering",82500,"GBP",113476,"GB",100,"GB","M","FT"
"113",112,2021,"4","Lead Data Engineer",75000,"GBP",103160,"GB",100,"GB","S","FT"
"114",113,2021,"1","AI Scientist",12000,"USD",12000,"PK",100,"US","M","PT"
"115",114,2021,"3","Data Engineer",38400,"EUR",45391,"NL",100,"NL","L","FT"
"116",115,2021,"1","Machine Learning Scientist",225000,"USD",225000,"US",100,"US","L","FT"
"117",116,2021,"3","Data Scientist",50000,"USD",50000,"NG",100,"NG","L","FT"
"118",117,2021,"3","Data Science Engineer",34000,"EUR",40189,"GR",100,"GR","M","FT"
"119",118,2021,"1","Data Analyst",90000,"USD",90000,"US",100,"US","S","FT"
"120",119,2021,"3","Data Engineer",200000,"USD",200000,"US",100,"US","L","FT"
"121",120,2021,"3","Big Data Engineer",60000,"USD",60000,"ES",50,"RO","M","FT"
"122",121,2021,"4","Principal Data Engineer",200000,"USD",200000,"US",100,"US","M","FT"
"123",122,2021,"1","Data Analyst",50000,"USD",50000,"US",100,"US","M","FT"
"124",123,2021,"1","Applied Data Scientist",80000,"GBP",110037,"GB",0,"GB","L","FT"
"125",124,2021,"1","Data Analyst",8760,"EUR",10354,"ES",50,"ES","M","PT"
"126",125,2021,"3","Principal Data Scientist",151000,"USD",151000,"US",100,"US","L","FT"
"127",126,2021,"4","Machine Learning Scientist",120000,"USD",120000,"US",50,"US","S","FT"
"128",127,2021,"3","Data Scientist",700000,"INR",9466,"IN",0,"IN","S","FT"
"129",128,2021,"1","Machine Learning Engineer",20000,"USD",20000,"IN",100,"IN","S","FT"
"130",129,2021,"4","Lead Data Scientist",3000000,"INR",40570,"IN",50,"IN","L","FT"
"131",130,2021,"1","Machine Learning Developer",100000,"USD",100000,"IQ",50,"IQ","S","FT"
"132",131,2021,"1","Data Scientist",42000,"EUR",49646,"FR",50,"FR","M","FT"
"133",132,2021,"3","Applied Machine Learning Scientist",38400,"USD",38400,"VN",100,"US","M","FT"
"134",133,2021,"4","Computer Vision Engineer",24000,"USD",24000,"BR",100,"BR","M","FT"
"135",134,2021,"1","Data Scientist",100000,"USD",100000,"US",0,"US","S","FT"
"136",135,2021,"3","Data Analyst",90000,"USD",90000,"US",100,"US","M","FT"
"137",136,2021,"3","ML Engineer",7000000,"JPY",63711,"JP",50,"JP","S","FT"
"138",137,2021,"3","ML Engineer",8500000,"JPY",77364,"JP",50,"JP","S","FT"
"139",138,2021,"4","Principal Data Scientist",220000,"USD",220000,"US",0,"US","L","FT"
"140",139,2021,"1","Data Scientist",80000,"USD",80000,"US",100,"US","M","FT"
"141",140,2021,"3","Data Analyst",135000,"USD",135000,"US",100,"US","L","FT"
"142",141,2021,"4","Data Science Manager",240000,"USD",240000,"US",0,"US","L","FT"
"143",142,2021,"4","Data Engineering Manager",150000,"USD",150000,"US",0,"US","L","FT"
"144",143,2021,"3","Data Scientist",82500,"USD",82500,"US",100,"US","S","FT"
"145",144,2021,"3","Data Engineer",100000,"USD",100000,"US",100,"US","L","FT"
"146",145,2021,"4","Machine Learning Engineer",70000,"EUR",82744,"BE",50,"BE","M","FT"
"147",146,2021,"3","Research Scientist",53000,"EUR",62649,"FR",50,"FR","M","FT"
"148",147,2021,"3","Data Engineer",90000,"USD",90000,"US",100,"US","L","FT"
"149",148,2021,"4","Data Engineering Manager",153000,"USD",153000,"US",100,"US","L","FT"
"150",149,2021,"4","Cloud Data Engineer",160000,"USD",160000,"BR",100,"US","S","FT"
"151",150,2021,"4","Director of Data Science",168000,"USD",168000,"JP",0,"JP","S","FT"
"152",151,2021,"3","Data Scientist",150000,"USD",150000,"US",100,"US","M","FT"
"153",152,2021,"3","Data Scientist",95000,"CAD",75774,"CA",100,"CA","L","FT"
"154",153,2021,"1","Data Scientist",13400,"USD",13400,"UA",100,"UA","L","FT"
"155",154,2021,"4","Data Science Manager",144000,"USD",144000,"US",100,"US","L","FT"
"156",155,2021,"4","Data Science Engineer",159500,"CAD",127221,"CA",50,"CA","L","FT"
"157",156,2021,"3","Data Scientist",160000,"SGD",119059,"SG",100,"IL","M","FT"
"158",157,2021,"3","Applied Machine Learning Scientist",423000,"USD",423000,"US",50,"US","L","FT"
"159",158,2021,"4","Data Analytics Manager",120000,"USD",120000,"US",100,"US","M","FT"
"160",159,2021,"1","Machine Learning Engineer",125000,"USD",125000,"US",100,"US","S","FT"
"161",160,2021,"2","Head of Data",230000,"USD",230000,"RU",50,"RU","L","FT"
"162",161,2021,"2","Head of Data Science",85000,"USD",85000,"RU",0,"RU","M","FT"
"163",162,2021,"3","Data Engineer",24000,"EUR",28369,"MT",50,"MT","L","FT"
"164",163,2021,"1","Data Science Consultant",54000,"EUR",63831,"DE",50,"DE","L","FT"
"165",164,2021,"2","Director of Data Science",110000,"EUR",130026,"DE",50,"DE","M","FT"
"166",165,2021,"4","Data Specialist",165000,"USD",165000,"US",100,"US","L","FT"
"167",166,2021,"1","Data Engineer",80000,"USD",80000,"US",100,"US","L","FT"
"168",167,2021,"2","Director of Data Science",250000,"USD",250000,"US",0,"US","L","FT"
"169",168,2021,"1","BI Data Analyst",55000,"USD",55000,"US",50,"US","S","FT"
"170",169,2021,"3","Data Architect",150000,"USD",150000,"US",100,"US","L","FT"
"171",170,2021,"3","Data Architect",170000,"USD",170000,"US",100,"US","L","FT"
"172",171,2021,"3","Data Engineer",60000,"GBP",82528,"GB",100,"GB","L","FT"
"173",172,2021,"1","Data Analyst",60000,"USD",60000,"US",100,"US","S","FT"
"174",173,2021,"4","Principal Data Scientist",235000,"USD",235000,"US",100,"US","L","FT"
"175",174,2021,"4","Research Scientist",51400,"EUR",60757,"PT",50,"PT","L","FT"
"176",175,2021,"4","Data Engineering Manager",174000,"USD",174000,"US",100,"US","L","FT"
"177",176,2021,"3","Data Scientist",58000,"MXN",2859,"MX",0,"MX","S","FT"
"178",177,2021,"3","Data Scientist",30400000,"CLP",40038,"CL",100,"CL","L","FT"
"179",178,2021,"1","Machine Learning Engineer",81000,"USD",81000,"US",50,"US","S","FT"
"180",179,2021,"3","Data Scientist",420000,"INR",5679,"IN",100,"US","S","FT"
"181",180,2021,"3","Big Data Engineer",1672000,"INR",22611,"IN",0,"IN","L","FT"
"182",181,2021,"3","Data Scientist",76760,"EUR",90734,"DE",50,"DE","L","FT"
"183",182,2021,"3","Data Engineer",22000,"EUR",26005,"RO",0,"US","L","FT"
"184",183,2021,"4","Finance Data Analyst",45000,"GBP",61896,"GB",50,"GB","L","FT"
"185",184,2021,"3","Machine Learning Scientist",12000,"USD",12000,"PK",50,"PK","M","FL"
"186",185,2021,"3","Data Engineer",4000,"USD",4000,"IR",100,"IR","M","FT"
"187",186,2021,"4","Data Analytics Engineer",50000,"USD",50000,"VN",100,"GB","M","FT"
"188",187,2021,"2","Data Science Consultant",59000,"EUR",69741,"FR",100,"ES","S","FT"
"189",188,2021,"4","Data Engineer",65000,"EUR",76833,"RO",50,"GB","S","FT"
"190",189,2021,"3","Machine Learning Engineer",74000,"USD",74000,"JP",50,"JP","S","FT"
"191",190,2021,"4","Data Science Manager",152000,"USD",152000,"US",100,"FR","L","FT"
"192",191,2021,"1","Machine Learning Engineer",21844,"USD",21844,"CO",50,"CO","M","FT"
"193",192,2021,"3","Big Data Engineer",18000,"USD",18000,"MD",0,"MD","S","FT"
"194",193,2021,"4","Data Science Manager",174000,"USD",174000,"US",100,"US","L","FT"
"195",194,2021,"4","Research Scientist",120500,"CAD",96113,"CA",50,"CA","L","FT"
"196",195,2021,"3","Data Scientist",147000,"USD",147000,"US",50,"US","L","FT"
"197",196,2021,"1","BI Data Analyst",9272,"USD",9272,"KE",100,"KE","S","FT"
"198",197,2021,"4","Machine Learning Engineer",1799997,"INR",24342,"IN",100,"IN","L","FT"
"199",198,2021,"4","Data Science Manager",4000000,"INR",54094,"IN",50,"US","L","FT"
"200",199,2021,"1","Data Science Consultant",90000,"USD",90000,"US",100,"US","S","FT"
"201",200,2021,"3","Data Scientist",52000,"EUR",61467,"DE",50,"AT","M","FT"
"202",201,2021,"4","Machine Learning Infrastructure Engineer",195000,"USD",195000,"US",100,"US","M","FT"
"203",202,2021,"3","Data Scientist",32000,"EUR",37825,"ES",100,"ES","L","FT"
"204",203,2021,"4","Research Scientist",50000,"USD",50000,"FR",100,"US","S","FT"
"205",204,2021,"3","Data Scientist",160000,"USD",160000,"US",100,"US","L","FT"
"206",205,2021,"3","Data Scientist",69600,"BRL",12901,"BR",0,"BR","S","FT"
"207",206,2021,"4","Machine Learning Engineer",200000,"USD",200000,"US",100,"US","L","FT"
"208",207,2021,"4","Data Engineer",165000,"USD",165000,"US",0,"US","M","FT"
"209",208,2021,"3","Data Engineer",20000,"USD",20000,"IT",0,"US","L","FL"
"210",209,2021,"4","Data Analytics Manager",120000,"USD",120000,"US",0,"US","L","FT"
"211",210,2021,"3","Machine Learning Engineer",21000,"EUR",24823,"SI",50,"SI","L","FT"
"212",211,2021,"3","Research Scientist",48000,"EUR",56738,"FR",50,"FR","S","FT"
"213",212,2021,"3","Data Engineer",48000,"GBP",66022,"HK",50,"GB","S","FT"
"214",213,2021,"1","Big Data Engineer",435000,"INR",5882,"IN",0,"CH","L","FT"
"215",214,2021,"1","Machine Learning Engineer",21000,"EUR",24823,"DE",50,"DE","M","FT"
"216",215,2021,"4","Principal Data Engineer",185000,"USD",185000,"US",100,"US","L","FT"
"217",216,2021,"1","Computer Vision Engineer",180000,"DKK",28609,"DK",50,"DK","S","PT"
"218",217,2021,"3","Data Scientist",76760,"EUR",90734,"DE",50,"DE","L","FT"
"219",218,2021,"3","Machine Learning Engineer",75000,"EUR",88654,"BE",100,"BE","M","FT"
"220",219,2021,"4","Data Analytics Manager",140000,"USD",140000,"US",100,"US","L","FT"
"221",220,2021,"3","Machine Learning Engineer",180000,"PLN",46597,"PL",100,"PL","L","FT"
"222",221,2021,"3","Data Scientist",85000,"GBP",116914,"GB",50,"GB","L","FT"
"223",222,2021,"3","Data Scientist",2500000,"INR",33808,"IN",0,"IN","M","FT"
"224",223,2021,"3","Data Scientist",40900,"GBP",56256,"GB",50,"GB","L","FT"
"225",224,2021,"4","Machine Learning Scientist",225000,"USD",225000,"US",100,"CA","L","FT"
"226",225,2021,"2","Principal Data Scientist",416000,"USD",416000,"US",100,"US","S","CT"
"227",226,2021,"4","Data Scientist",110000,"CAD",87738,"CA",100,"CA","S","FT"
"228",227,2021,"3","Data Scientist",75000,"EUR",88654,"DE",50,"DE","L","FT"
"229",228,2021,"4","Data Scientist",135000,"USD",135000,"US",0,"US","L","FT"
"230",229,2021,"4","Data Analyst",90000,"CAD",71786,"CA",100,"CA","M","FT"
"231",230,2021,"1","Big Data Engineer",1200000,"INR",16228,"IN",100,"IN","L","FT"
"232",231,2021,"4","ML Engineer",256000,"USD",256000,"US",100,"US","S","FT"
"233",232,2021,"4","Director of Data Engineering",200000,"USD",200000,"US",100,"US","L","FT"
"234",233,2021,"4","Data Analyst",200000,"USD",200000,"US",100,"US","L","FT"
"235",234,2021,"3","Data Architect",180000,"USD",180000,"US",100,"US","L","FT"
"236",235,2021,"3","Head of Data Science",110000,"USD",110000,"US",0,"US","S","FT"
"237",236,2021,"3","Research Scientist",80000,"CAD",63810,"CA",100,"CA","M","FT"
"238",237,2021,"3","Data Scientist",39600,"EUR",46809,"ES",100,"ES","M","FT"
"239",238,2021,"1","Data Scientist",4000,"USD",4000,"VN",0,"VN","M","FT"
"240",239,2021,"1","Data Engineer",1600000,"INR",21637,"IN",50,"IN","M","FT"
"241",240,2021,"4","Data Scientist",130000,"CAD",103691,"CA",100,"CA","L","FT"
"242",241,2021,"3","Data Analyst",80000,"USD",80000,"US",100,"US","L","FT"
"243",242,2021,"3","Data Engineer",110000,"USD",110000,"US",100,"US","L","FT"
"244",243,2021,"4","Data Scientist",165000,"USD",165000,"US",100,"US","L","FT"
"245",244,2021,"1","AI Scientist",1335000,"INR",18053,"IN",100,"AS","S","FT"
"246",245,2021,"3","Data Engineer",52500,"GBP",72212,"GB",50,"GB","L","FT"
"247",246,2021,"1","Data Scientist",31000,"EUR",36643,"FR",50,"FR","L","FT"
"248",247,2021,"3","Data Engineer",108000,"TRY",12103,"TR",0,"TR","M","FT"
"249",248,2021,"4","Data Engineer",70000,"GBP",96282,"GB",50,"GB","L","FT"
"250",249,2021,"4","Principal Data Analyst",170000,"USD",170000,"US",100,"US","M","FT"
"251",250,2021,"3","Data Scientist",115000,"USD",115000,"US",50,"US","L","FT"
"252",251,2021,"1","Data Scientist",90000,"USD",90000,"US",100,"US","S","FT"
"253",252,2021,"2","Principal Data Engineer",600000,"USD",600000,"US",100,"US","L","FT"
"254",253,2021,"1","Data Scientist",2100000,"INR",28399,"IN",100,"IN","M","FT"
"255",254,2021,"3","Data Analyst",93000,"USD",93000,"US",100,"US","L","FT"
"256",255,2021,"4","Big Data Architect",125000,"CAD",99703,"CA",50,"CA","M","FT"
"257",256,2021,"3","Data Engineer",200000,"USD",200000,"US",100,"US","L","FT"
"258",257,2021,"4","Principal Data Scientist",147000,"EUR",173762,"DE",100,"DE","M","FT"
"259",258,2021,"4","Machine Learning Engineer",185000,"USD",185000,"US",50,"US","L","FT"
"260",259,2021,"2","Director of Data Science",120000,"EUR",141846,"DE",0,"DE","L","FT"
"261",260,2021,"3","Data Scientist",130000,"USD",130000,"US",50,"US","L","FT"
"262",261,2021,"4","Data Analyst",54000,"EUR",63831,"DE",50,"DE","L","FT"
"263",262,2021,"3","Data Scientist",1250000,"INR",16904,"IN",100,"IN","S","FT"
"264",263,2021,"4","Machine Learning Engineer",4900000,"INR",66265,"IN",0,"IN","L","FT"
"265",264,2021,"3","Data Scientist",21600,"EUR",25532,"RS",100,"DE","S","FT"
"266",265,2021,"4","Lead Data Engineer",160000,"USD",160000,"PR",50,"US","S","FT"
"267",266,2021,"3","Data Engineer",93150,"USD",93150,"US",0,"US","M","FT"
"268",267,2021,"3","Data Engineer",111775,"USD",111775,"US",0,"US","M","FT"
"269",268,2021,"3","Data Engineer",250000,"TRY",28016,"TR",100,"TR","M","FT"
"270",269,2021,"1","Data Engineer",55000,"EUR",65013,"DE",50,"DE","M","FT"
"271",270,2021,"1","Data Engineer",72500,"USD",72500,"US",100,"US","L","FT"
"272",271,2021,"4","Computer Vision Engineer",102000,"BRL",18907,"BR",0,"BR","M","FT"
"273",272,2021,"1","Data Science Consultant",65000,"EUR",76833,"DE",0,"DE","L","FT"
"274",273,2021,"1","Machine Learning Engineer",85000,"USD",85000,"NL",100,"DE","S","FT"
"275",274,2021,"4","Data Scientist",65720,"EUR",77684,"FR",50,"FR","M","FT"
"276",275,2021,"1","Data Scientist",100000,"USD",100000,"US",100,"US","M","FT"
"277",276,2021,"1","Data Scientist",58000,"USD",58000,"US",50,"US","L","FT"
"278",277,2021,"4","AI Scientist",55000,"USD",55000,"ES",100,"ES","L","FT"
"279",278,2021,"4","Data Scientist",180000,"TRY",20171,"TR",50,"TR","L","FT"
"280",279,2021,"1","Business Data Analyst",50000,"EUR",59102,"LU",100,"LU","L","FT"
"281",280,2021,"3","Data Engineer",112000,"USD",112000,"US",100,"US","L","FT"
"282",281,2021,"1","Research Scientist",100000,"USD",100000,"JE",0,"CN","L","FT"
"283",282,2021,"3","Data Engineer",59000,"EUR",69741,"NL",100,"NL","L","PT"
"284",283,2021,"4","Staff Data Scientist",105000,"USD",105000,"US",100,"US","M","CT"
"285",284,2021,"3","Research Scientist",69999,"USD",69999,"CZ",50,"CZ","L","FT"
"286",285,2021,"4","Data Science Manager",7000000,"INR",94665,"IN",50,"IN","L","FT"
"287",286,2021,"4","Head of Data",87000,"EUR",102839,"SI",100,"SI","L","FT"
"288",287,2021,"3","Data Scientist",109000,"USD",109000,"US",50,"US","L","FT"
"289",288,2021,"3","Machine Learning Engineer",43200,"EUR",51064,"IT",50,"IT","L","FT"
"290",289,2022,"4","Data Engineer",135000,"USD",135000,"US",100,"US","M","FT"
"291",290,2022,"4","Data Analyst",155000,"USD",155000,"US",100,"US","M","FT"
"292",291,2022,"4","Data Analyst",120600,"USD",120600,"US",100,"US","M","FT"
"293",292,2022,"3","Data Scientist",130000,"USD",130000,"US",0,"US","M","FT"
"294",293,2022,"3","Data Scientist",90000,"USD",90000,"US",0,"US","M","FT"
"295",294,2022,"3","Data Engineer",170000,"USD",170000,"US",100,"US","M","FT"
"296",295,2022,"3","Data Engineer",150000,"USD",150000,"US",100,"US","M","FT"
"297",296,2022,"4","Data Analyst",102100,"USD",102100,"US",100,"US","M","FT"
"298",297,2022,"4","Data Analyst",84900,"USD",84900,"US",100,"US","M","FT"
"299",298,2022,"4","Data Scientist",136620,"USD",136620,"US",100,"US","M","FT"
"300",299,2022,"4","Data Scientist",99360,"USD",99360,"US",100,"US","M","FT"
"301",300,2022,"4","Data Scientist",90000,"GBP",117789,"GB",0,"GB","M","FT"
"302",301,2022,"4","Data Scientist",80000,"GBP",104702,"GB",0,"GB","M","FT"
"303",302,2022,"4","Data Scientist",146000,"USD",146000,"US",100,"US","M","FT"
"304",303,2022,"4","Data Scientist",123000,"USD",123000,"US",100,"US","M","FT"
"305",304,2022,"1","Data Engineer",40000,"GBP",52351,"GB",100,"GB","M","FT"
"306",305,2022,"4","Data Analyst",99000,"USD",99000,"US",0,"US","M","FT"
"307",306,2022,"4","Data Analyst",116000,"USD",116000,"US",0,"US","M","FT"
"308",307,2022,"3","Data Analyst",106260,"USD",106260,"US",0,"US","M","FT"
"309",308,2022,"3","Data Analyst",126500,"USD",126500,"US",0,"US","M","FT"
